,date,content
0,2020-03-16 23:59:59+00:00,"So did we all just conveniently ignore the fact that the Coronavirus originated eerily close to the Wuhan Institute of Virology..?

Come on!

Now that’s a Chinese Virus. Accidental or planned, I’m just saying, think about it..."
1,2020-03-16 23:59:37+00:00,"@MissGinaDarling Anyone above or below saying it's not racist, most likely is racist. First of all, the #CoronaVirus has a name #Covid19 and yes it was reported to originate from Wuhan, China, but doesn't mean it has an ethnicity/nationality as Chinese. It's a virus. No race should be tied to it."
2,2020-03-16 23:59:37+00:00,"In addition to the Coronavirus, it has also been storming in Los Angeles for a week.

So, really, we're facing two crises."
3,2020-03-16 23:59:19+00:00,"@holographicpop1 @AdamcSpring @thetzechun Instead of being so hell bent on who to point fingers at, why don’t you see how you can be of service to those in your community who are less able? Coronaviruses have been around for years, COVID-19 is just the newest strain."
4,2020-03-16 23:58:51+00:00,"Sync professionals, how is the Covid-19 crisis affecting your business? Do you have any advice for those affected? We are looking for quotes for a Synchblog article, please email emma@synchtank.com #musicsupervisor #synclicensing"
5,2020-03-16 23:58:19+00:00,"After corona is before divorce. Couples all over the world fighting over pasta, toilet paper and who gets the desk in the home office. 😂 #corona #quarantine #coronavirus #toiletpapershortage #coronamemes #coronapocolypse"
6,2020-03-16 23:58:17+00:00,@flipboitamidles You already know people be making them COVID-19 babies lmaooooo
7,2020-03-16 23:58:11+00:00,"Everyone at my local grocery store (Eagle Rock, Los Angeles) was super considerate and polite today.  We're all aware of the TP fights etc and don't wanna be like that 💜💙#ChooseCivility #TrueStory #Coronavirus #BeKind"
8,2020-03-16 23:58:08+00:00,Five people with the #coronavirus in #boyleheights really close to home omg 😭😢
9,2020-03-16 23:57:48+00:00,If i get exposed to coronavirus before Friday will someone in CLT please drive to GameStop and pick up animal crossing for me
10,2020-03-16 23:56:59+00:00,"@laurierecords So far I've made 2 stews, enough pancakes for an army (no, I will not hoard them), a pea and pesto soup and some roasted potatoes. This is not because I'm stressed but because I'm avoiding writing. #CoronavirusOutbreak #QuarantineLife #stayhomechallenge #coronavirus #writers"
11,2020-03-16 23:56:58+00:00,The gaming community doesn’t even notice the coronavirus is going on cause they never go outside
12,2020-03-16 23:56:38+00:00,"@Katweegee On a permanent basis, it’s a bad idea. A temporary UBI for crises like the Coronavirus can help people and small businesses survive the lack of economic movement. People aren’t making money right now that they need to spend on rent and other essentials."
13,2020-03-16 23:56:11+00:00,"We will continue to share information on how we can support our partner pubs and members during the COVID-19 quarantine. If any of our members need assistance, supplies, etc. please don't hesitate to reach out via DM and we will do our best to find you the right resources to help"
14,2020-03-16 23:56:00+00:00,Anyone else feel trump is only hours away from throwing rolls of toilet paper at us??? 😳#CoronavirusOutbreak #coronavirus #coronapocolypse
15,2020-03-16 23:55:55+00:00,"Dating In The Time of Coronavirus: I find your concern for social distancing attractive, but alas we mustn't be together."
16,2020-03-16 23:55:55+00:00,I wonder how many people are going to commit suicide because COVID-19 is fucking up their source of income and the forced isolation keeps them from doing things they enjoy outside of home. 😞
17,2020-03-16 23:55:46+00:00,"In light of the COVID-19 pandemic, Campus Cruiser is closed at UPC effective Monday, 3/16. For today, we will service HSC from 5pm-12:45am. We will be closed on BOTH campuses starting tomorrow. Free Lyft will be available on both campuses starting tonight."
18,2020-03-16 23:55:45+00:00,The best thing about the coronavirus is always having an excuse to not follow through on plans
19,2020-03-16 23:55:28+00:00,@caroljsroth CDC published an article saying flu death are possible to be covid. One Chinese spokesman tweeted it questioning for more data and used the word ‘might’ since US army was in Wuhan Oct 2019. Next day it becomes Chinese spreading. Go figure.
20,2020-03-16 23:55:21+00:00,"I strongly believe in the wake of COVID-19, all Only Fans pages should be free of charge!! How selfish of y’all to charge money in these dire times."
21,2020-03-16 23:55:19+00:00,@Valkyrae With this covid 19 going on I hope I’m ok too! Lol 😂
22,2020-03-16 23:55:19+00:00,"When people say something like ""Only X amount of people in California have died from COVID-19, quarantine is stupid,"" let's use it as a reminder:"
23,2020-03-16 23:55:14+00:00,"I wouldn’t wish coronavirus on my worst... wait, yes I would. I totally would."
24,2020-03-16 23:54:52+00:00,"@WhoopiGoldberg  why did you single out the flight that came from the philippines on your todays episode.  corona covid-19 virus is all over the world, i think the approriate statement should governent is not dojng anything when intl passengers get in to this country."
25,2020-03-16 23:54:50+00:00,"HOW TO AVOID CORONAVIRUS

• Park that car
• Drop that phone
• Sleep on the floor
• 🎶Dream about me🎶"
26,2020-03-16 23:54:49+00:00,"Due to the Coronavirus (COVID-19), the Consulate General of the Republic of Kenya Los Angeles is suspending all walk in/appointment consular services from Monday 16th March 2020 until further notice. For Kenyans in distress please call 323-350-1186."
27,2020-03-16 23:54:48+00:00,@realDonaldTrump It is called coronavirus dude :) stop showing off your ignorance. Many scientists from Japan and Taiwan are still doubting the origin of this virus. Make the U.S case 0 public and transparent before saying these shitty comments 🙃🙃🙃🙃🙃
28,2020-03-16 23:54:41+00:00,"McDonald's to shut seating, play areas due to COVID-19@ USA TODAY xxx Those should permanently close those sanitized garbage food dumps, then maybe those unhealthy fat people will maybe start eating real food for a change. Hey fat people you are what you eat---garbage."
29,2020-03-16 23:54:01+00:00,COVID-19 got everyone learning to be domesticated AF
30,2020-03-16 23:54:00+00:00,"life under trump is like ""hey guys remember COVID-19? that was a week ago"""
31,2020-03-16 23:53:37+00:00,All this online class prep has me ready for a quaran-tini!!!! 🍸 🦠 #professorjokes #coronavirus #sometimesyoujusthavetolaugh #onlineteaching
32,2020-03-16 23:53:28+00:00,COVID-19 starting to remind me of @TheDivisionGame // ( The Division 1)
33,2020-03-16 23:53:18+00:00,these companies shortening hours like COVID-19 i’d of fab during the day and work during the night.
34,2020-03-16 23:52:53+00:00,Serious question:  Did #MoscowMitch and the Senate make any progress today on the COVID-19 relief bill the House passed Friday?  I can't find news about it.
35,2020-03-16 23:52:51+00:00,The good thing about covid-19 being a Chinese virus is it doesn't have to worry about being harassed by the police for no reason.
36,2020-03-16 23:52:46+00:00,"Crafting my diary entry for a @tpwky COVID-19 episode first hand account ""Dear Diary, Day 1 of Quarantine: Tom Hanks is infected, there isn't much hope for the rest of us"""
37,2020-03-16 23:52:26+00:00,"At first I started saying “corona”  instead of “coronavirus” ironically, but now it’s become a habit and please somebody save me"
38,2020-03-16 23:52:04+00:00,"My brother-in-law works for @MammothMountain. He and other employees are being kicked out of collective housing on 3/20.

They have *no place to go* during a pandemic. This is gross negligence!! #coronapocolypse #Quarantine #coronavirus  @CNN @MSNBC"
39,2020-03-16 23:51:40+00:00,marty wolf = coronavirus. this metaphor is not fully fleshed out but it makes sense in my head
40,2020-03-16 23:51:34+00:00,@gmfinancial is not giving any sympathy to @Uber and @lyft drivers who are caught in the Bay Area’s mandatory 3-week #coronavirus #quarantine amidst the #covid19 #pandemic It appears that they are willing to repossess cars from rideshare drivers who don’t pay up! #greed
41,2020-03-16 23:51:32+00:00,@davidetaylor The false 'prophet' David E. Taylor should be in China or Italy using his miraculous 'healing' powers to cure COVID-19 patients.
42,2020-03-16 23:50:22+00:00,When are we going to find an essential oil for the #coronavirus outbreak?
43,2020-03-16 23:49:52+00:00,idk why but I keep imagining that the end of the coronavirus will be like the last scene from big fat liar when frankie muniz cleverly owns paul giamotti and everyone gathers as a big fuck you to MARTY WOLF
44,2020-03-16 23:49:41+00:00,"Idris Elba has tested positive for the Coronavirus. He also says he doesn't feel any symptoms.

So just to repeat in case you weren't aware, you can be infected with the Coronavirus / spread the disease and *NOT* know you have it. 

#SocialDistancing"
45,2020-03-16 23:49:10+00:00,Does rain tamp down coronavirus or does it make it stronger and facilitate its spread?
46,2020-03-16 23:48:39+00:00,"Sooooooooooo @idriselba has Covid-19.
He could still smash, no mask. Cause I want full face contact fosho. I know I'm not the only one who thought it......🤷🏾‍♀️"
47,2020-03-16 23:48:13+00:00,"Hey @SenatorCollins you just missed a great opportunity to get Trump to ""step back"" #coronavirus"
48,2020-03-16 23:47:59+00:00,"Coronavirus is making me realize a lot of ppl are not the humanitarians they claim to be. They’re on the internet fighting for everyone’s rights, canceling any &amp; everybody but when it comes to keeping fellow humans safe at the cost of a night out they can’t? Make it make sense"
49,2020-03-16 23:47:56+00:00,Wrestlemania from the empty Performance Center is no #WrestleMania but I'll gladly take any live sport entertainment at this point. #COVID2019 #coronavirus
,date,content
0,2020-03-17 23:59:41+00:00,I wonder how many children will be conceived during this quarantine. #CoronaOutbreak #coronavirus #CoronaBabyBoom #CoronaBabies
1,2020-03-17 23:59:17+00:00,@JonBTrade @lhamtil @matt_levine Yes and cheap debt. This implosion was going to happen at some point regardless of coronavirus.
2,2020-03-17 23:59:17+00:00,"@Redistrict By a huge margin, &amp; with an obvious suppression of the senior vote due to coronavirus."
3,2020-03-17 23:59:10+00:00,@yumcoconutmilk Covid is less sore throat and more fatigue/fever/cough then pneumonia so you’re probably okay
4,2020-03-17 23:58:31+00:00,"@CAgovernor @GavinNewsom You're saying that my cohort--housebound, seriously ill--will have meals delivered. But my #MealsOnWheels [#Arcadia] does not provide for those of us who choose #compassion over #cruelty--no #vegan/#vegetarian meals! What do I do?
#coronavirus #California"
5,2020-03-17 23:57:57+00:00,Anyone’s employer suggest using sick and vacation time during this shut down? #coronavirus #LosAngeles
6,2020-03-17 23:57:46+00:00,"Saw a virologist on @BBCWorld news who said the flu is gone now so if you have flu-like symptoms you probably have #COVID19 so I think I have it.
I am slowly getting better but if what I've had is that you don't want it. I've been seriously ill for 11 days.
#stayhome
#coronavirus"
7,2020-03-17 23:57:39+00:00,"Idk, I take Omega-3 Fish Oils so tbh Coronavirus can do nothing to me"
8,2020-03-17 23:57:37+00:00,"Our new manufacturers we’re working with will be moving a lot quicker with made to order production however, most of the workers/seamstress have children &amp; obligations concerning COVID-19 so we’ll be short staff during the current events which will potentially slow things down."
9,2020-03-17 23:56:40+00:00,@plasticvampire1 @Andy Ramona looks like she saw the coronavirus
10,2020-03-17 23:56:33+00:00,"BREAKING: 4 players of Brooklyn Nets have tested positive for Coronavirus, according to Woj.

The last team they faced before the hiatus was the Los Angeles Lakers.

Let us all pray for their recocery. 🙏"
11,2020-03-17 23:56:30+00:00,more from @GavinNewsom - all of the UCs have clinical trials going on right now..#coronavirus
12,2020-03-17 23:56:03+00:00,"If Facebook is flagging or removing your Coronavirus articles as flagged content or spam, apparently it’s happening to a lot of people. Word is it’s a bug and articles will be restored?"
13,2020-03-17 23:55:54+00:00,"Quitting caffeine cold turkey so if I start thinking I have COVID-19, remind me it's just withdrawal."
14,2020-03-17 23:55:40+00:00,The fact that 70% of my take home final is based off the last 2 lectures that were cancelled due to coronavirus just shows that UCLA will always prioritize their status as being academically rigorous over providing a quality education that inspires students to be successful..
15,2020-03-17 23:54:50+00:00,"So nice to see sports players/owners and large hotel groups help out service workers. It’s a shame that with all the money in #napavalley and the #wine industry, there isn’t a single group or individual pledging to help us out here. #coronavirus"
16,2020-03-17 23:54:41+00:00,"""if you don't have the ink, the printer doesn't mean much"" @GavinNewsom comparing the  #coronavirus test kits to printers. CA is low on the components of the test kits. They're not worth much if you don't have all the parts @PBSSoCal @KCET"
17,2020-03-17 23:54:35+00:00,"When you see me walking my dog on the street, walk the other way, I'm Asian! #getouttamyway #thankgodimasian #DontBeASpreader #coronavirus #WalkAway #2020 #goals #makeway #jolenescomingthrough #MoveOn #Quarantine #dogs #LeaveNoOneBehind #AsianLivesMatter"
18,2020-03-17 23:54:30+00:00,Just sitting in on the sidewalk....enjoying sunshine and talking to mom. The simple pleasures of life when #coronavirus has eliminated the distractions...
19,2020-03-17 23:54:24+00:00,"Seriously NOT looking forward to the Covid-19 posts that are gonna happen on April Fool’s Day, because people who post about being infected will either be an actual carrier or a raging a—hole.

And there’s no treatment for the latter."
20,2020-03-17 23:54:14+00:00,".@GavinNewsom says he spoke an hour ago with @realDonaldTrump. 

Says they had a good conversation about getting more RNA extraction swabs for California so the tests we already have can be utilized. #coronavirus"
21,2020-03-17 23:54:13+00:00,"LA County just announced 50 new cases of #coronavirus
- just one with confirmed close contact, mostly unknown origin."
22,2020-03-17 23:54:11+00:00,"#Coronavirus:  ""We need more swabs...We have a lot of tests, we don't have the other components.""--@GavinNewsom, @CAgovernor"
23,2020-03-17 23:54:08+00:00,"@marc_slans I think this agrees with everyone else. The problem w COVID is how fast it spreads. 

Even if this was a flu season, if it spread this fast, the world would be reacting the same way."
24,2020-03-17 23:53:53+00:00,Im not saying its good for the covid-19 to be happening . But km glad it didnt happen last year. Can’t imagine how boring being home school is😂
25,2020-03-17 23:53:32+00:00,"@BagdMilkSoWhat Putin didn't release the Coronavirus to the world until after his included the vaccine in with his citizens other vaccines? 
Russians who didn't get their normal vaccinations weren't immune?
Never forget, Putin is a killer.
And, Trump is just as vile."
26,2020-03-17 23:53:18+00:00,"Even given coronavirus fears, voting appears to be up substantially from 2016 numbers in Florida, where Biden now leads Sanders by 60.3 to 22.0 (65% reporting). Maybe praising Castro wasn't such a great idea, Bernie."
27,2020-03-17 23:53:16+00:00,My waxing salon closed due to coronavirus this is a CRISIS the government MUST step in we as Americans DEMAND A SOLUTION
28,2020-03-17 23:52:58+00:00,"Things I've learned about myself during quarantine: 

Every time I see people touch on TV I scream ""No, don't get the COVID! Stop it!"""
29,2020-03-17 23:52:11+00:00,".@mariaedurazo During the #Coronavirus crisis, we demand that all @CaltransHQ properties in your district - to be used to house the unsheltered immediately! We urge you to support and protect your community! Because #HousingIsHealthcare"
30,2020-03-17 23:52:10+00:00,".@wendycarrillo During the #Coronavirus crisis, we demand that all @CaltransHQ properties in your district - to be used to house the unsheltered immediately! We urge you to support and protect your community! Because #HousingIsHealthcare"
31,2020-03-17 23:51:41+00:00,.@Facebook stop deleting posts linking to legitimate news sources about Coronavirus updates and calling them spam. This is fascist behavior and media censorship.
32,2020-03-17 23:51:23+00:00,CA is also running models with health providers to ensure hospitals and medical facilities will have the capacity to help COVID-19 patients. Currently there some 88K beds available for the entire state
33,2020-03-17 23:51:17+00:00,"*day 4 of the coronavirus quarantine 

9YO: I like having to stay at home.

Me: Really, why?

9YO: I get to wear pajamas all day."
34,2020-03-17 23:51:11+00:00,"@FVHollywood @sivavaid Ah, all the ones I’ve seen removed so far are coronavirus posts. Definitely going to keep an eye on it. Still feels shady. Maybe they’re flagging a bunch to make it seem like a glitch."
